method,trajectory_id,seed,final_best_fitness,nominal_fitness,optimized_fitness,improvement_ratio,absolute_DH_error_mean,theta_error,d_error,a_error,alpha_error,runtime_total,runtime_per_measurement,mean_Dx,min_Dx,mean_Dv,min_Dv,max_Dv,final_w,final_c1,final_c2,final_vmax_scale
APSO,smooth_sine,0,2.6588597297668457,0.015039737336337566,0.005317719653248787,2.828230579464498,0.005071932449936867,0.010008428245782852,0.003545864950865507,0.004197562579065561,0.0025358747225254774,6.897006273269653,0.013786767959594727,0.0023639262629672887,0.0005169865326024592,0.003230838924925774,0.000654947361908853,0.01824008859694004,nan,nan,nan,nan
APSO,smooth_sine,1,2.4800333976745605,0.020959820598363876,0.004960067104548216,4.225713111652143,0.004764406010508537,0.0034447896759957075,0.0032811216078698635,0.0026374529115855694,0.009694261476397514,6.854928493499756,0.013702455997467042,0.0019904279269860126,0.00030130345840007067,0.0026013302549836225,0.00040437508141621947,0.018041443079710007,nan,nan,nan,nan
APSO,smooth_sine,2,2.5864765644073486,0.012076321989297867,0.005172953475266695,2.3345120049963843,0.004052115138620138,0.0037185184191912413,0.004069458693265915,0.00340132019482553,0.005019163712859154,6.853088140487671,0.013698729038238525,0.002602881452755537,0.0003305971040390432,0.0034583231890457683,0.0004542282549664378,0.018289461731910706,nan,nan,nan,nan
APSO,smooth_sine,3,2.577289581298828,0.017525101080536842,0.005154579412192106,3.399909028287505,0.00654775183647871,0.009492863900959492,0.006569898687303066,0.002075072843581438,0.008053171448409557,6.860651254653931,0.013713778018951416,0.0023080604516202584,0.00027213915018364787,0.0030615680643706583,0.00035708784707821906,0.019032716751098633,nan,nan,nan,nan
APSO,smooth_sine,4,2.79404878616333,0.02411685697734356,0.005588097497820854,4.315754509785883,0.005736527498811483,0.010666923597455025,0.002722185803577304,0.003584155347198248,0.005972845014184713,6.851494789123535,0.013695427894592285,0.002496934652037453,0.00048317547771148384,0.003328089547669515,0.0006525606731884181,0.018641259521245956,nan,nan,nan,nan
APSO,smooth_sine,5,2.561850070953369,0.024160508066415787,0.0051237004809081554,4.715441145797311,0.004275382496416569,0.0031653577461838722,0.004666260443627834,0.00430421344935894,0.004965697880834341,6.853109121322632,0.013698672771453858,0.00232073422052199,0.00037983356742188334,0.0032118938862113282,0.0004322559689171612,0.019416965544223785,nan,nan,nan,nan
APSO,smooth_sine,6,2.596367835998535,0.011148199439048767,0.005192735698074102,2.1468836634961885,0.005011135246604681,0.004234956577420235,0.0030571462120860815,0.004690212197601795,0.008062226697802544,6.852540493011475,0.013697449684143066,0.00238494129339233,0.0002743029617704451,0.003188960537360981,0.0003891665837727487,0.01730593666434288,nan,nan,nan,nan
APSO,smooth_sine,7,2.6674587726593018,0.01267763040959835,0.005334917921572924,2.3763496638502235,0.004976571537554264,0.004804481752216816,0.001363776158541441,0.001766603672876954,0.011971424333751202,6.857376337051392,0.013706882476806641,0.0025167643043445425,0.0007047020480968058,0.003402364826994017,0.000918824109248817,0.0176662839949131,nan,nan,nan,nan
APSO,smooth_sine,8,2.547250747680664,0.01499839499592781,0.005094501655548811,2.9440357487354847,0.0059355199337005615,0.00567243155092001,0.0031133866868913174,0.0069259656593203545,0.008030297234654427,6.858231782913208,0.013708741664886474,0.0021916485818335787,0.0002662867773324251,0.0029465302388882266,0.0003170306154061109,0.016816696152091026,nan,nan,nan,nan
APSO,smooth_sine,9,3.921116828918457,0.008242773823440075,0.007842234335839748,1.0510746644957831,0.007733908947557211,0.012686642818152905,0.008813097141683102,0.0028087273240089417,0.006627167575061321,6.858352184295654,0.013708809375762939,0.0032541744774673134,0.0010188360465690494,0.004335408138809726,0.0014724174980074167,0.018491458147764206,nan,nan,nan,nan
APSO,smooth_sine,10,2.552443504333496,0.01671908050775528,0.005104887764900923,3.2751122605885086,0.004531567916274071,0.008658399805426598,0.003371455240994692,0.002160495612770319,0.003935920540243387,6.862638235092163,0.013717547416687011,0.0021193414549925365,0.0003455485566519201,0.002912442043016199,0.0004785385390277952,0.0171810295432806,nan,nan,nan,nan
APSO,smooth_sine,11,2.5452141761779785,0.012740551494061947,0.005090428050607443,2.502844823146378,0.007351966109126806,0.009641438722610474,0.004479923751205206,0.00402414333075285,0.011262357234954834,6.867706537246704,0.013727836608886719,0.002285513371694833,0.00044297834392637014,0.003049808595725335,0.0005749724223278463,0.018567554652690887,nan,nan,nan,nan
APSO,smooth_sine,12,2.5535411834716797,0.019283711910247803,0.005107081960886717,3.7758767252875005,0.005864748265594244,0.010873126797378063,0.0036851344630122185,0.00366714084520936,0.005233590956777334,6.855313301086426,0.01370281410217285,0.00188137692520977,0.00016296564717777073,0.0025598373255808836,0.00027264986420050263,0.0177808478474617,nan,nan,nan,nan
APSO,smooth_sine,13,2.5236079692840576,0.011258515529334545,0.005047215614467859,2.2306389085225478,0.00520103657618165,0.007928692735731602,0.004242811352014542,0.0017959258984774351,0.006836717016994953,6.85766339302063,0.013707427501678467,0.0026643311529885977,0.000296183570753783,0.0035790383279090746,0.0003915159322787076,0.018441107124090195,nan,nan,nan,nan
