method,trajectory_id,seed,final_best_fitness,nominal_fitness,optimized_fitness,improvement_ratio,absolute_DH_error_mean,theta_error,d_error,a_error,alpha_error,runtime_total,runtime_per_measurement,mean_Dx,min_Dx,mean_Dv,min_Dv,max_Dv,final_w,final_c1,final_c2,final_vmax_scale
PSO,smooth_sine,0,2.657653331756592,0.015039737336337566,0.0053153070621192455,2.8295142990932174,0.004621374420821667,0.00599247869104147,0.0027712162118405104,0.006015591323375702,0.0037062119226902723,6.415048837661743,0.012822672367095948,0.0009384946159596439,3.975779691245407e-05,0.0008992204750451492,4.416932642925531e-05,0.019156210124492645,nan,nan,nan,nan
PSO,smooth_sine,1,2.6415343284606934,0.020959820598363876,0.005283068865537643,3.967357066853387,0.006898203864693642,0.0042864736169576645,0.00392576027661562,0.005626102443784475,0.013754479587078094,6.35601019859314,0.012704754829406738,0.0007490672980195086,2.7281259463052265e-05,0.0007346319558244432,3.0249655537772924e-05,0.017880026251077652,nan,nan,nan,nan
PSO,smooth_sine,2,2.6595871448516846,0.012076321989297867,0.005319173913449049,2.2703378730979225,0.005939040333032608,0.005064941942691803,0.002307638991624117,0.0027164823841303587,0.013667099177837372,6.295003890991211,0.012582893371582032,0.0013546167347900336,6.115599535405636e-05,0.0013378223924839403,6.436253170249984e-05,0.018473433330655098,nan,nan,nan,nan
PSO,smooth_sine,3,2.5809645652770996,0.017525101080536842,0.005161929409950972,3.39506794625138,0.006132781505584717,0.010510411113500595,0.00735248439013958,0.0018036251422017813,0.00486460467800498,6.303854465484619,0.012600358486175536,0.0009612166557779346,7.5240568548906595e-06,0.0009781667380815635,7.772464414301794e-06,0.019278453662991524,nan,nan,nan,nan
PSO,smooth_sine,4,2.8561885356903076,0.02411685697734356,0.005712377373129129,4.221859902111617,0.006470316555351019,0.008997051976621151,0.002441180869936943,0.004933174699544907,0.00950985960662365,6.296191453933716,0.012585076332092285,0.0008552336336302688,2.6990433980245143e-05,0.0008809922270404058,2.6397188776172698e-05,0.0183476023375988,nan,nan,nan,nan
PSO,smooth_sine,5,2.6474008560180664,0.024160508066415787,0.0052948021329939365,4.563061557269992,0.007346719037741423,0.007362091448158026,0.005962503608316183,0.0026909250300377607,0.013371355831623077,6.307434320449829,0.012607614517211914,0.0009185288866618066,2.2612299289903603e-05,0.0009453290140314494,2.2686001102556475e-05,0.02036946266889572,nan,nan,nan,nan
PSO,smooth_sine,6,2.774473190307617,0.011148199439048767,0.005548946559429169,2.0090659226308363,0.007803832646459341,0.003364630974829197,0.007952358573675156,0.004734690301120281,0.01516365073621273,6.308957099914551,0.012610585212707519,0.0008975563338259235,2.5277669919887558e-05,0.0009097096090306877,3.612650471040979e-05,0.017893247306346893,nan,nan,nan,nan
PSO,smooth_sine,7,2.7796144485473633,0.01267763040959835,0.005559229291975498,2.2804654645020577,0.007430452853441238,0.009988505393266678,0.0024469951167702675,0.0030212104320526123,0.014265099540352821,6.3129847049713135,0.012618672370910645,0.0013152803560165921,5.542841972783208e-05,0.0013372751490038355,5.950977356405929e-05,0.018294785171747208,nan,nan,nan,nan
PSO,smooth_sine,8,2.9126081466674805,0.01499839499592781,0.005825216881930828,2.574735893946053,0.009323908016085625,0.004487848840653896,0.005333202891051769,0.0076355841010808945,0.01983899623155594,6.298404932022095,0.012589560985565186,0.0009831950015824987,6.346151349134743e-05,0.0009760809406725457,6.499276787508279e-05,0.017398297786712646,nan,nan,nan,nan
PSO,smooth_sine,9,2.961496353149414,0.008242773823440075,0.005922993179410696,1.391656815019359,0.009947247803211212,0.009003187529742718,0.00681406632065773,0.012661010026931763,0.011310729198157787,6.304270029067993,0.0126012544631958,0.0012401410674749058,5.553744631470181e-05,0.0012894235426560044,5.297862662700936e-05,0.01893145777285099,nan,nan,nan,nan
