method,trajectory_id,seed,final_best_fitness,nominal_fitness,optimized_fitness,improvement_ratio,absolute_DH_error_mean,theta_error,d_error,a_error,alpha_error,runtime_total,runtime_per_measurement,mean_Dx,min_Dx,mean_Dv,min_Dv,max_Dv,final_w,final_c1,final_c2,final_vmax_scale
GA,smooth_sine,0,0.00614232337102294,0.015039737336337566,0.01606694422662258,0.9360670656600055,0.009790041483938694,0.013632634654641151,0.006544593721628189,0.004656281787902117,0.014326656237244606,9.142936706542969,0.018278456687927245,0.006450847508572042,0.004819789901375771,0.00931290394216776,0.007038772106170654,0.09179726988077164,nan,nan,nan,nan
GA,smooth_sine,1,0.0034028925001621246,0.020959820598363876,0.011877279728651047,1.7646987422383773,0.005432543810456991,0.0064227222464978695,0.0038530752062797546,0.003979134373366833,0.007475242018699646,8.993180274963379,0.017979127407073976,0.0063839408213272695,0.004736868664622307,0.009222679759934545,0.00707382382825017,0.09127531945705414,nan,nan,nan,nan
GA,smooth_sine,2,0.003739507868885994,0.012076321989297867,0.018908124417066574,0.6386842884531537,0.006317732390016317,0.005375353153795004,0.006249378900974989,0.004151904955506325,0.009494294412434101,9.183173894882202,0.01835878562927246,0.006360016010142863,0.00493608508259058,0.009215210941433906,0.007209232542663813,0.08808769285678864,nan,nan,nan,nan
GA,smooth_sine,3,0.002547857817262411,0.017525101080536842,0.01957746595144272,0.8951669804459739,0.007707085460424423,0.010998046956956387,0.0047951024025678635,0.005624545272439718,0.009410645812749863,9.191270112991333,0.01837496566772461,0.006407094700448215,0.004752949811518192,0.009266171264462173,0.0071603343822062016,0.09290091693401337,nan,nan,nan,nan
GA,smooth_sine,4,0.0073409597389400005,0.02411685697734356,0.01853681355714798,1.301024952481321,0.007359872572124004,0.00974380411207676,0.005121230147778988,0.0037475465796887875,0.010826910845935345,9.169379472732544,0.018331009864807127,0.006390419050492346,0.004774169996380806,0.009239682364650071,0.007219491060823202,0.08674164861440659,nan,nan,nan,nan
GA,smooth_sine,5,0.005152217112481594,0.024160508066415787,0.015652336180210114,1.543572013036808,0.007462143898010254,0.008873182348906994,0.004885846748948097,0.005938808433711529,0.010150739923119545,9.1697256565094,0.018331738471984865,0.006375787585787475,0.0047193001955747604,0.009214325954578818,0.006816495675593615,0.09337746351957321,nan,nan,nan,nan
GA,smooth_sine,6,0.005569436587393284,0.011148199439048767,0.013731318525969982,0.811881205578636,0.011292509734630585,0.008751779794692993,0.007760887034237385,0.00843842327594757,0.020218949764966965,9.173744678497314,0.0183396954536438,0.0063948419108986855,0.004801012109965086,0.009248813515715302,0.006864892318844795,0.08525748550891876,nan,nan,nan,nan
GA,smooth_sine,7,0.002300292020663619,0.01267763040959835,0.014743938110768795,0.8598537456107986,0.009054170921444893,0.00946508627384901,0.004323281813412905,0.006694220006465912,0.015734095126390457,9.150027990341187,0.018292309284210204,0.00639004428256303,0.004874921403825283,0.00924204921927303,0.007212728261947632,0.09336721897125244,nan,nan,nan,nan
GA,smooth_sine,8,0.004659061320126057,0.01499839499592781,0.013604257255792618,1.1024780488873493,0.008052442222833633,0.010956671088933945,0.004587945993989706,0.0057226247154176235,0.010942528024315834,9.144585132598877,0.018281440258026124,0.006423800949938595,0.0048677665181458,0.009296715090423822,0.007114605512470007,0.09013085067272186,nan,nan,nan,nan
GA,smooth_sine,9,0.004028914030641317,0.008242773823440075,0.03242862969636917,0.2541819959898881,0.008966013789176941,0.009335873648524284,0.005689118057489395,0.007057446055114269,0.01378161646425724,9.162316799163818,0.018316953659057618,0.006398295280337334,0.004743550904095173,0.00925224639289081,0.0072909193113446236,0.08696980774402618,nan,nan,nan,nan
